"","x","ID","Perfil","Altura","Lado","Painel","Quadrante","Valor"
"M0",0,1,1,1.75,1,1,1,0
"M1",10,2,1,1.75,1,1,1,81.6
"M2",15,3,1,1.75,1,1,1,199.2
"M3",20,4,1,1.75,1,1,1,279.1
"M4",25,5,1,1.75,1,1,1,385.6
"M5",30,6,1,1.75,1,1,1,359.3
"M0.1",0,1,2,1.25,1,1,2,0
"M1.1",10,2,2,1.25,1,1,2,106.5
"M2.1",15,3,2,1.25,1,1,2,171.4
"M3.1",20,4,2,1.25,1,1,2,194.5
"M4.1",25,5,2,1.25,1,1,2,274
"M5.1",30,6,2,1.25,1,1,2,524.8
"M0.2",0,1,3,0.75,1,1,3,0
"M1.2",10,2,3,0.75,1,1,3,79.8
"M2.2",15,3,3,0.75,1,1,3,189.4
"M3.2",20,4,3,0.75,1,1,3,179.5
"M4.2",25,5,3,0.75,1,1,3,295.2
"M5.2",30,6,3,0.75,1,1,3,439.5
"M0.3",0,1,4,1.75,1,2,1,0
"M1.3",10,2,4,1.75,1,2,1,207.2
"M2.3",15,3,4,1.75,1,2,1,543.3
"M3.3",20,4,4,1.75,1,2,1,755.2
"M4.3",25,5,4,1.75,1,2,1,525.5
"M5.3",30,6,4,1.75,1,2,1,NA
"M0.4",0,1,5,1.25,1,2,2,0
"M1.4",10,2,5,1.25,1,2,2,99.3
"M2.4",15,3,5,1.25,1,2,2,147.3
"M3.4",20,4,5,1.25,1,2,2,304.7
"M4.4",25,5,5,1.25,1,2,2,453.3
"M5.4",30,6,5,1.25,1,2,2,451.1
"M0.5",0,1,6,0.75,1,2,3,0
"M1.5",10,2,6,0.75,1,2,3,115.3
"M2.5",15,3,6,0.75,1,2,3,159.7
"M3.5",20,4,6,0.75,1,2,3,288
"M4.5",25,5,6,0.75,1,2,3,289.5
"M5.5",30,6,6,0.75,1,2,3,379.2
"M0.6",0,1,7,1.75,0,1,1,0
"M1.6",10,2,7,1.75,0,1,1,93.2
"M2.6",15,3,7,1.75,0,1,1,179.5
"M3.6",20,4,7,1.75,0,1,1,478.7
"M4.6",25,5,7,1.75,0,1,1,316.9
"M5.6",30,6,7,1.75,0,1,1,687.8
"M0.7",0,1,8,1.75,0,1,2,0
"M1.7",10,2,8,1.75,0,1,2,42.1
"M2.7",15,3,8,1.75,0,1,2,282.8
"M3.7",20,4,8,1.75,0,1,2,314.5
"M4.7",25,5,8,1.75,0,1,2,476.9
"M5.7",30,6,8,1.75,0,1,2,787.7
"M0.8",0,1,9,1.75,0,1,3,0
"M1.8",10,2,9,1.75,0,1,3,93.4
"M2.8",15,3,9,1.75,0,1,3,145.9
"M3.8",20,4,9,1.75,0,1,3,166.7
"M4.8",25,5,9,1.75,0,1,3,281.3
"M5.8",30,6,9,1.75,0,1,3,290.8
"M0.9",0,1,10,1.75,0,1,4,0
"M1.9",10,2,10,1.75,0,1,4,93.7
"M2.9",15,3,10,1.75,0,1,4,124.9
"M3.9",20,4,10,1.75,0,1,4,209.4
"M4.9",25,5,10,1.75,0,1,4,256.7
"M5.9",30,6,10,1.75,0,1,4,312.2
"M0.10",0,1,11,1.75,0,1,5,0
"M1.10",10,2,11,1.75,0,1,5,116.7
"M2.10",15,3,11,1.75,0,1,5,202.7
"M3.10",20,4,11,1.75,0,1,5,150.4
"M4.10",25,5,11,1.75,0,1,5,162.1
"M5.10",30,6,11,1.75,0,1,5,NA
"M0.11",0,1,12,1.75,0,1,6,0
"M1.11",10,2,12,1.75,0,1,6,271.1
"M2.11",15,3,12,1.75,0,1,6,242.7
"M3.11",20,4,12,1.75,0,1,6,240.2
"M4.11",25,5,12,1.75,0,1,6,178.7
"M5.11",30,6,12,1.75,0,1,6,255.8
"M0.12",0,1,13,1.75,0,1,7,0
"M1.12",10,2,13,1.75,0,1,7,84.5
"M2.12",15,3,13,1.75,0,1,7,115.8
"M3.12",20,4,13,1.75,0,1,7,572.1
"M4.12",25,5,13,1.75,0,1,7,300.8
"M5.12",30,6,13,1.75,0,1,7,278.7
"M0.13",0,1,14,1.75,0,1,8,0
"M1.13",10,2,14,1.75,0,1,8,74.2
"M2.13",15,3,14,1.75,0,1,8,128.6
"M3.13",20,4,14,1.75,0,1,8,183.9
"M4.13",25,5,14,1.75,0,1,8,216
"M5.13",30,6,14,1.75,0,1,8,322.3
"M0.14",0,1,15,1.25,0,1,9,0
"M1.14",10,2,15,1.25,0,1,9,18.8
"M2.14",15,3,15,1.25,0,1,9,286
"M3.14",20,4,15,1.25,0,1,9,362.4
"M4.14",25,5,15,1.25,0,1,9,649.9
"M5.14",30,6,15,1.25,0,1,9,632
"M0.15",0,1,16,1.25,0,1,10,0
"M1.15",10,2,16,1.25,0,1,10,61.5
"M2.15",15,3,16,1.25,0,1,10,210.1
"M3.15",20,4,16,1.25,0,1,10,190.8
"M4.15",25,5,16,1.25,0,1,10,343.7
"M5.15",30,6,16,1.25,0,1,10,467.1
"M0.16",0,1,17,1.25,0,1,11,0
"M1.16",10,2,17,1.25,0,1,11,67
"M2.16",15,3,17,1.25,0,1,11,106.4
"M3.16",20,4,17,1.25,0,1,11,160.7
"M4.16",25,5,17,1.25,0,1,11,268.6
"M5.16",30,6,17,1.25,0,1,11,373.3
"M0.17",0,1,18,1.25,0,1,12,0
"M1.17",10,2,18,1.25,0,1,12,173.9
"M2.17",15,3,18,1.25,0,1,12,269.8
"M3.17",20,4,18,1.25,0,1,12,426.5
"M4.17",25,5,18,1.25,0,1,12,471.2
"M5.17",30,6,18,1.25,0,1,12,586.4
"M0.18",0,1,19,1.25,0,1,13,0
"M1.18",10,2,19,1.25,0,1,13,105.2
"M2.18",15,3,19,1.25,0,1,13,251
"M3.18",20,4,19,1.25,0,1,13,277.8
"M4.18",25,5,19,1.25,0,1,13,332.2
"M5.18",30,6,19,1.25,0,1,13,609.3
"M0.19",0,1,20,1.25,0,1,14,0
"M1.19",10,2,20,1.25,0,1,14,106.4
"M2.19",15,3,20,1.25,0,1,14,217
"M3.19",20,4,20,1.25,0,1,14,264.7
"M4.19",25,5,20,1.25,0,1,14,516
"M5.19",30,6,20,1.25,0,1,14,400.8
"M0.20",0,1,21,1.25,0,1,15,0
"M1.20",10,2,21,1.25,0,1,15,79.4
"M2.20",15,3,21,1.25,0,1,15,196.7
"M3.20",20,4,21,1.25,0,1,15,200.6
"M4.20",25,5,21,1.25,0,1,15,479.1
"M5.20",30,6,21,1.25,0,1,15,520.8
"M0.21",0,1,22,1.25,0,1,16,0
"M1.21",10,2,22,1.25,0,1,16,137.6
"M2.21",15,3,22,1.25,0,1,16,175.6
"M3.21",20,4,22,1.25,0,1,16,277.2
"M4.21",25,5,22,1.25,0,1,16,435.7
"M5.21",30,6,22,1.25,0,1,16,580.6
"M0.22",0,1,23,0.75,0,1,17,0
"M1.22",10,2,23,0.75,0,1,17,111.3
"M2.22",15,3,23,0.75,0,1,17,197.9
"M3.22",20,4,23,0.75,0,1,17,213.3
"M4.22",25,5,23,0.75,0,1,17,411.2
"M5.22",30,6,23,0.75,0,1,17,346.2
"M0.23",0,1,24,0.75,0,1,18,0
"M1.23",10,2,24,0.75,0,1,18,58.7
"M2.23",15,3,24,0.75,0,1,18,88.9
"M3.23",20,4,24,0.75,0,1,18,294.7
"M4.23",25,5,24,0.75,0,1,18,595.4
"M5.23",30,6,24,0.75,0,1,18,566.7
"M0.24",0,1,25,0.75,0,1,19,0
"M1.24",10,2,25,0.75,0,1,19,173.8
"M2.24",15,3,25,0.75,0,1,19,285.6
"M3.24",20,4,25,0.75,0,1,19,413.5
"M4.24",25,5,25,0.75,0,1,19,484
"M5.24",30,6,25,0.75,0,1,19,552.3
"M0.25",0,1,26,0.75,0,1,20,0
"M1.25",10,2,26,0.75,0,1,20,299.6
"M2.25",15,3,26,0.75,0,1,20,499.4
"M3.25",20,4,26,0.75,0,1,20,630.7
"M4.25",25,5,26,0.75,0,1,20,617.8
"M5.25",30,6,26,0.75,0,1,20,585.6
"M0.26",0,1,27,0.75,0,1,21,0
"M1.26",10,2,27,0.75,0,1,21,199.6
"M2.26",15,3,27,0.75,0,1,21,252.9
"M3.26",20,4,27,0.75,0,1,21,403.2
"M4.26",25,5,27,0.75,0,1,21,784.7
"M5.26",30,6,27,0.75,0,1,21,NA
"M0.27",0,1,28,0.75,0,1,22,0
"M1.27",10,2,28,0.75,0,1,22,143.9
"M2.27",15,3,28,0.75,0,1,22,263.7
"M3.27",20,4,28,0.75,0,1,22,350.3
"M4.27",25,5,28,0.75,0,1,22,563
"M5.27",30,6,28,0.75,0,1,22,254.4
"M0.28",0,1,29,0.75,0,1,23,0
"M1.28",10,2,29,0.75,0,1,23,89.4
"M2.28",15,3,29,0.75,0,1,23,112.3
"M3.28",20,4,29,0.75,0,1,23,121.6
"M4.28",25,5,29,0.75,0,1,23,192.2
"M5.28",30,6,29,0.75,0,1,23,425.5
"M0.29",0,1,30,0.75,0,1,24,0
"M1.29",10,2,30,0.75,0,1,24,123.9
"M2.29",15,3,30,0.75,0,1,24,301
"M3.29",20,4,30,0.75,0,1,24,389.3
"M4.29",25,5,30,0.75,0,1,24,441
"M5.29",30,6,30,0.75,0,1,24,676.3
